Group,Similar Phrases
"Хотите работать над продуктом, приносящем реальную пользу людям?","Хотите работать над продуктом, приносящем реальную пользу людям?"
Расширяем команду,Расширяем команду
КЛЮЧЕВЫЕ ЗАДАЧИ:,"КЛЮЧЕВЫЕ ЗАДАЧИ:, Ключевые задачи, Ваши ключевые задачи:, Ключевые задачи:"
Продажи:,Продажи:
Продукт Цифровое правосудие,Продукт Цифровое правосудие
Миссия роли:,"Миссия роли:, О роли"
Аналитика и отчетность:,Аналитика и отчетность:
"Ищем талантливого и фуллстечного junior-специалиста по информационной безопасности, готового учиться и расти вместе с нами.","Ищем талантливого и фуллстечного junior-специалиста по информационной безопасности, готового учиться и расти вместе с нами."
Автоматизация сбора и обработки данных,Автоматизация сбора и обработки данных
Менеджер проектов для приоритезации задач,Менеджер проектов для приоритезации задач
Специалист технической поддержки первой линии,Специалист технической поддержки первой линии
Чем будешь заниматься:,"Чем будешь заниматься:, Чем ты будешь заниматься:, ЧЕМ ТЫ БУДЕШЬ ЗАНИМАТЬСЯ:"
НАШИ БРЕНДЫ,НАШИ БРЕНДЫ
Время сделать прыжок!,Время сделать прыжок!
Будем рады пообщаться и обсудить детали вакансии:),"Будем рады пообщаться и обсудить детали вакансии:), Будем рады пообщаться и обсудить детали вакансии подробнее:)"
Дополнительные инструкции:,Дополнительные инструкции:
Технологический стек:,"Технологический стек:, ТЕХНОЛОГИЧЕСКИЙ СТЕК:"
Продвинутые версии CRM-систем,Продвинутые версии CRM-систем
Ты идеально впишитесь в команду если:,"Ты идеально впишитесь в команду если:, Вы идеально впишитесь в команду если:"
«Ригла»,«Ригла»
<strong>Мы предлагаем:,<strong>Мы предлагаем:
"Что нужно, чтобы к нам присоединиться","Что нужно, чтобы к нам присоединиться"
Как преимущество:,Как преимущество:
"Мы - одно из ведущих деловых сообществ России, уже 25 лет объединяем представителей ТОП-менеджмента крупнейших компаний из реального сектора экономики.","Мы - одно из ведущих деловых сообществ России, уже 25 лет объединяем представителей ТОП-менеджмента крупнейших компаний из реального сектора экономики."
Технологии/инструменты/ключевые навыки:,Технологии/инструменты/ключевые навыки:
Attack Surface Management,Attack Surface Management
"Группа Компаний IRIS, крупнейшее российское предприятие в сфере управления и комплексного обслуживания объектов недвижимости, объявляет конкурс на должность бизнес-аналитика.","Группа Компаний IRIS, крупнейшее российское предприятие в сфере управления и комплексного обслуживания объектов недвижимости, объявляет конкурс на должность бизнес-аналитика."
Какие навыки и опыт тебе нужны на старте:,Какие навыки и опыт тебе нужны на старте:
ГК «ХайТэк»,ГК «ХайТэк»
<em>Твои задачи</em>,"<em>Твои задачи</em>, <em>Твои задачи:</em>, <em>Ключевые задачи</em>"
Обсуждение условий и оформление,Обсуждение условий и оформление
Working in a beautiful office in the center of Moscow in a hybrid format:,Working in a beautiful office in the center of Moscow in a hybrid format:
"Команда BGD имеет глубокую экспертизу в диджитал, маркетинге, ИТ и бизнес-аналитике. В 2024 и 2025 году перед нами стоят большие цели и для их реализации нам в команду требуется бухгалтер на маркетплейсы.","Команда BGD имеет глубокую экспертизу в диджитал, маркетинге, ИТ и бизнес-аналитике. В 2024 и 2025 году перед нами стоят большие цели и для их реализации нам в команду требуется бухгалтер на маркетплейсы."
"Ты отучишься быстрее, если еще у тебя есть:","Ты отучишься быстрее, если еще у тебя есть:"
Мы любим радовать наших сотрудников:,Мы любим радовать наших сотрудников:
Professional development:,Professional development:
Мы рассматриваем кандидатов с опытом и навыками:,Мы рассматриваем кандидатов с опытом и навыками:
Rush Analytics,Rush Analytics
Развитие клиентских отношений:,Развитие клиентских отношений:
Профиль кандидата:,"Профиль кандидата:, Профиль успешного кандидата:"
"Интересно, я справлюсь?...","Интересно, я справлюсь?..."
"Вам подойдет данная вакансия, если Вы:","Вам подойдет данная вакансия, если Вы:"
"Мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. Наша команда инженеров, бизнес-аналитиков, руководителей проектов, UI/UX- и QA-специалистов TAGES осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей.","Мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. Наша команда инженеров, бизнес-аналитиков, руководителей проектов, UI/UX- и QA-специалистов TAGES осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей."
Алгоритм С,Алгоритм С
Наш,Наш
"Мы хотим, чтобы вы:","Мы хотим, чтобы вы:"
Наши пожелания к Вам:,Наши пожелания к Вам:
"Что мы хотим, чтобы кандидат мог обсудить на собеседовании:","Что мы хотим, чтобы кандидат мог обсудить на собеседовании:"
"<em>Фидбэк придет всем кандидатам, вне зависимости от решения по резюме.<br />Ждем ваших откликов!</em>","<em>Фидбэк придет всем кандидатам, вне зависимости от решения по резюме.<br />Ждем ваших откликов!</em>"
"Мы благодарим Вас за интерес к БТГ+. Отправляя отклик, будьте готовы пройти дополнительные этапы отбора. Так мы поймем, что Вы действительно заинтересованы в работе.","Мы благодарим Вас за интерес к БТГ+. Отправляя отклик, будьте готовы пройти дополнительные этапы отбора. Так мы поймем, что Вы действительно заинтересованы в работе."
"Просьба, в сопроводительном письме указывать желаемую сумму заработной платы.","Просьба, в сопроводительном письме указывать желаемую сумму заработной платы."
Миссия нашей школы,Миссия нашей школы
Skysmart,Skysmart
Штатный бизнес-аналитик для оптимизации процессов,Штатный бизнес-аналитик для оптимизации процессов
"Вы отлично справитесь, если у вас есть:","Вы отлично справитесь, если у вас есть:"
О вас:,"О вас:, От Вас :, От Вас:"
Особый плюс:,Особый плюс:
"<em>Поэтому, если ты хочешь развиваться в маркетинге и расти внутри крутой команды, то тебе к нам.</em>","<em>Поэтому, если ты хочешь развиваться в маркетинге и расти внутри крутой команды, то тебе к нам.</em>"
Разработать эффективную бизнес-модель:,Разработать эффективную бизнес-модель:
Кофемания – это легендарная команда московских ресторанов с 20-тилетней историей!,Кофемания – это легендарная команда московских ресторанов с 20-тилетней историей!
Техническое интервью с ведущим специалистом,Техническое интервью с ведущим специалистом
Кто мы такие?,Кто мы такие?
Настройка статистики и отчетов по звонкам,Настройка статистики и отчетов по звонкам
Технические навыки:,Технические навыки:
Создание и оптимизация бизнес-процессов в CRM,Создание и оптимизация бизнес-процессов в CRM
Присоединяйся к команде Иннотех!,Присоединяйся к команде Иннотех!
"Задачи, которыми Вы займетесь в первую очередь","Задачи, которыми Вы займетесь в первую очередь"
Год основания:,Год основания:
P,P
Что для этого нужно:,"Что для этого нужно:, ЧТО ДЛЯ ЭТОГО НУЖНО:, Для этого нужно:, Что для этого нужно, Что для этого нужно?, ЧТО ВАМ ДЛЯ ЭТОГО НУЖНО:"
Как организована работа?,Как организована работа?
Глубокое понимание бизнес-процессов,Глубокое понимание бизнес-процессов
Компания АКО — лидер на рынке удалённого видеоконтроля.,Компания АКО — лидер на рынке удалённого видеоконтроля.
Цель проста - лидерство на рынке. У цели правильный счет - деньги.,Цель проста - лидерство на рынке. У цели правильный счет - деньги.
Функциональные обязанности,"Функциональные обязанности, Функциональные обязанности:"
"Уникальный собственный ассортимент ключевая особенность ВкусВилл. Наша задача лучше понять нашего покупателя и предложить именно тот продукт, который ему требуется.","Уникальный собственный ассортимент ключевая особенность ВкусВилл. Наша задача лучше понять нашего покупателя и предложить именно тот продукт, который ему требуется."
Почитать и посмотреть о нас можно,Почитать и посмотреть о нас можно
Чем тебе предстоит заниматься у нас?,"Чем тебе предстоит заниматься у нас?, Чем предстоит заниматься?, ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:, Чем тебе предстоит заниматься:, Чем предстоит заниматься:, Чем предстоит заниматься, ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ"
"В дальнейшем, с ростом ваших навыков:","В дальнейшем, с ростом ваших навыков:"
Задача инженера Evrone,Задача инженера Evrone
<em>В связи с активным развитием бизнеса приглашаем присоединиться к команде.</em>,<em>В связи с активным развитием бизнеса приглашаем присоединиться к команде.</em>
Чего ждать от Роботов:,Чего ждать от Роботов:
Для нас важен следующий опыт работы:,Для нас важен следующий опыт работы:
АО &quot;МХК &quot;ЕвроХим&quot;,АО &quot;МХК &quot;ЕвроХим&quot;
"Все обучения от топовых спикеров: Рыжий, Малых, Толстокулатов и другие","Все обучения от топовых спикеров: Рыжий, Малых, Толстокулатов и другие"
Внимание:,"Внимание:, ВНИМАНИЕ!"
"Вы мне супер поможете связаться с вами, если оставите ссылку на ваш телеграм аккаунт в сопроводительном письме.","Вы мне супер поможете связаться с вами, если оставите ссылку на ваш телеграм аккаунт в сопроводительном письме."
Мы ищем человека который:,"Мы ищем человека который:, Мы ищем человека, который:, Мы ищем человека :"
"Теперь о главном, основные задачи:","Теперь о главном, основные задачи:"
Ведение проектов по внедрению и сопровождению информационных систем на платформе &quot;1С Предприятие 8&quot;,Ведение проектов по внедрению и сопровождению информационных систем на платформе &quot;1С Предприятие 8&quot;
Это про тебя?,"Это про тебя?, ЭТО ПРО ТЕБЯ?"
"Scientific academic background, e.g., chemistry, biology, physics, math, pharmacology, medicine, or chemical engineering","Scientific academic background, e.g., chemistry, biology, physics, math, pharmacology, medicine, or chemical engineering"
Отдых и развиртуализация:,Отдых и развиртуализация:
"Опыт, который вам пригодится:","Опыт, который вам пригодится:"
С тебя:,"С тебя:, От Тебя:, От тебя:"
О вакансии:,"О вакансии:, Преимущества вакансии:"
Квалификация,Квалификация
ЧТО МЫ ЦЕНИМ В ЛЮДЯХ:,ЧТО МЫ ЦЕНИМ В ЛЮДЯХ:
Наши ожидания:,"Наши ожидания:, Наши ожидания"
Для решения задач потребуется:,"Для решения задач потребуется:, ДЛЯ РЕШЕНИЯ ЗАДАЧ ПОТРЕБУЕТСЯ:"
Настроили процессы технического оснащения,Настроили процессы технического оснащения
Старт обучения - 13 января 2025. Прием заявок до 9 января 2025.,Старт обучения - 13 января 2025. Прием заявок до 9 января 2025.
Что ты будешь делать?,"Что ты будешь делать?, Что ты будешь делать:"
Корпоративные доступы к API всех систем,Корпоративные доступы к API всех систем
Почему нам подойдешь ты:,Почему нам подойдешь ты:
"Ты нам подходишь, если у тебя:","Ты нам подходишь, если у тебя:, Ты нам подходишь, если:, Ты нам подходишь, если, Ты нам подходишь, если имеешь:, Ты нам точно подходишь, если:, Ты нам подходишь, если у тебя есть:, Ты точно нам подходишь, если:, Ты нам точно подходишь, если у тебя есть:"
Что будет еще:,"Что будет еще:, А еще:"
"Наш бренд молодой, амбициозный , с креативной концепцией, поэтому будет очень интересно!","Наш бренд молодой, амбициозный , с креативной концепцией, поэтому будет очень интересно!"
Компания:,"Компания:, Мы - компания"
АС Мониторинг,АС Мониторинг
"Качества и опыт, которые мы рассматриваем:","Качества и опыт, которые мы рассматриваем:"
"Обращаем ваше внимание, что прием заявок на эту вакансию продолжается до 30 декабря (отклики смотрим до 29 декабря)","Обращаем ваше внимание, что прием заявок на эту вакансию продолжается до 30 декабря (отклики смотрим до 29 декабря)"
Мы ожадаем:,Мы ожадаем:
Мы предлагаем Вам:,"Мы предлагаем Вам:, ЧТО МЫ ВАМ ПРЕДЛАГАЕМ, Мы предлагаем:, Что мы Вам предлагаем:, Мы предлагаем вам:, МЫ ПРЕДЛАГАЕМ"
Что взамен:,"Что взамен:, ЧТО ПРЕДЛАГАЕМ ВЗАМЕН, Что предлагаем взамен:"
"Просим в сопроводительном письме указать сферы, с которыми есть опыт! И Будем очень признательны за прикреплённые кейсы!)","Просим в сопроводительном письме указать сферы, с которыми есть опыт! И Будем очень признательны за прикреплённые кейсы!)"
Зона ответственности в процессе обучения и после:,Зона ответственности в процессе обучения и после:
На должности BackEnd-разработчика ты:,На должности BackEnd-разработчика ты:
Владеющий английским языком на высоком уровне (выше B2);,Владеющий английским языком на высоком уровне (выше B2);
<em>Чем предстоит заниматься:</em>,"<em>Чем предстоит заниматься:</em>, Чем предстоит заниматься?, ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:, Чем предстоит заниматься:, Чем предстоит заниматься, <em>Тебе предстоит:</em>, ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ, <em>Что предстоит:</em>"
● Мы в ТОП-3 вендоров и интеграторов WMS в России ● 32,● Мы в ТОП-3 вендоров и интеграторов WMS в России ● 32
Менеджер отдела продаж (IT продукты),Менеджер отдела продаж (IT продукты)
Zorka,Zorka
Внимание!! Вакансия активна до 13.01.2025 включительно!,Внимание!! Вакансия активна до 13.01.2025 включительно!
"Присоединяйтесь к команде Медтайм и станьте частью компании, где ценят системный подход и создают все условия для комфортной работы с данными и автоматизацией!","Присоединяйтесь к команде Медтайм и станьте частью компании, где ценят системный подход и создают все условия для комфортной работы с данными и автоматизацией!"
демократичность и отсутствие бюрократии,демократичность и отсутствие бюрократии
"С наличием клиентской базы по телефонии (крупные клиенты, от 100 тыс исходящих минут).","С наличием клиентской базы по телефонии (крупные клиенты, от 100 тыс исходящих минут)."
<u>Основные функции: </u>,<u>Основные функции: </u>
Б,Б
Техническая экспертиза:,Техническая экспертиза:
Поэтому сейчас я нахожусь в поиске личного помощника.,Поэтому сейчас я нахожусь в поиске личного помощника.
Мы рады тебе с первого дня:,Мы рады тебе с первого дня:
В АО « НПФ ГАЗФОНД пенсионные накопления» открыта вакансия Product owner/Методолог,"В АО « НПФ ГАЗФОНД пенсионные накопления» открыта вакансия Product owner/Методолог, В АО «НПФ ГАЗФОНД пенсионные накопления» открыта вакансия Аналитика данных"
"Плюсом будет, знание CMS","Плюсом будет, знание CMS"
Департамент информационных технологий,"Департамент информационных технологий, Департамент информационных технологий Москвы"
"Мы ищем в свою команду ответственного, целеустремленного, инициативного и коммуникабельного специалиста:","Мы ищем в свою команду ответственного, целеустремленного, инициативного и коммуникабельного специалиста:"
С какими продуктами предстоит работать:,С какими продуктами предстоит работать:
Идеальный кандидат должен иметь:,Идеальный кандидат должен иметь:
Для будущих коллег:,Для будущих коллег:
Настройка выгрузок данных в Яндекс DataLens,Настройка выгрузок данных в Яндекс DataLens
ОКейСити,ОКейСити
Зарплата:,Зарплата:
The following duties to be covered by BI analytic:,The following duties to be covered by BI analytic:
Реальность (we have):,Реальность (we have):
Company Overview:,Company Overview:
"В связи с растущей потребностью в нашем продукте, мы расширяем отдел продаж (для работы в ОФИСЕ).","В связи с растущей потребностью в нашем продукте, мы расширяем отдел продаж (для работы в ОФИСЕ)."
«99 БАЛЛОВ» -,«99 БАЛЛОВ» -
Желательный опыт:,Желательный опыт:
Your Key Responsibilities:,"Your Key Responsibilities:, Key Responsibilities:, Key Responsibilities, Key responsibilities:"
Просьба в сопроводительном письме указывать зарплатные ожидания и привести пример участия в проекте разработки и актуализации бизнес-процессов Компании,Просьба в сопроводительном письме указывать зарплатные ожидания и привести пример участия в проекте разработки и актуализации бизнес-процессов Компании
Что я ищу в тебе?,Что я ищу в тебе?
Банк для меня:,Банк для меня:
"Со своей стороны, мы предлагаем:","Со своей стороны, мы предлагаем:, Мы со своей стороны предоставим:"
Доступ к платным ресурсам по аналитике,Доступ к платным ресурсам по аналитике
Что тебе нужно будет делать:,"Что тебе нужно будет делать:, Что нужно будет делать:, Что нужно делать :, Что нужно будет делать, Что нужно делать:, ЧТО НУЖНО ДЕЛАТЬ?, А что нужно будет делать?"
Я для Банка:,Я для Банка:
<em>РАБОТАЯ У НАС ВЫ ПОЛУЧАЕТЕ:</em>,"<em>РАБОТАЯ У НАС ВЫ ПОЛУЧАЕТЕ:</em>, Что Вы получаете, работая у нас:"
Ваш опыт:,Ваш опыт:
Оборот,Оборот
"<em>В сопроводительном письме просим указать желаемый уровень заработной платы и учитывать, что это не позиция Финансового директора, нам нужен финансист - подчинение финансовому директору</em>","<em>В сопроводительном письме просим указать желаемый уровень заработной платы и учитывать, что это не позиция Финансового директора, нам нужен финансист - подчинение финансовому директору</em>"
Мы ищем в свою команду Менеджера маркетплейса OZON.,Мы ищем в свою команду Менеджера маркетплейса OZON.
● 32,● 32
В чем заключается работа?,В чем заключается работа?
<em>ТехСтэк:</em>,<em>ТехСтэк:</em>
проекты федерального масштаба и быстрый рост,проекты федерального масштаба и быстрый рост
Вам,"Вам, вам предстоит:, Вам предстоит:, ВАМ ПРЕДСТОИТ:"
Наше предложение финалисту:,"Наше предложение финалисту:, Наше предложение:"
Почему открыта вакансия?,"Почему открыта вакансия?, Почему открыта вакансия:"
Достойную зарплату (оклад + KPI) от 200 000 рублей,Достойную зарплату (оклад + KPI) от 200 000 рублей
Какие профессиональные навыки важны:,"Какие профессиональные навыки важны:, Какие навыки нам важны?"
"<em>МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!</em>","<em>МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!</em>"
Каким мы тебя видим:,"Каким мы тебя видим:, КАКИМ МЫ ТЕБЯ ВИДИМ:"
SEO-агентство MaryProject,SEO-агентство MaryProject
Какие задачи нужно будет выполнять:,Какие задачи нужно будет выполнять:
Какие технологии мы используем:,"Какие технологии мы используем:, Мы используем технологии:"
Наш лучший кандидат это:,Наш лучший кандидат это:
Основная цель руководителя проекта,Основная цель руководителя проекта
Предпочтительные навыки:,Предпочтительные навыки:
Что вас ждёт?,"Что вас ждёт?, Что вас ждёт:, Что вас здесь ждёт:"
Мониторинг и аналитика:,Мониторинг и аналитика:
Hard skills:,"Hard skills:, Hard skills"
Uzum,Uzum
"Ты подойдёшь, если","Ты подойдёшь, если"
Будем рады пообщаться и рассказать о вакансии подробнее:),"Будем рады пообщаться и рассказать о вакансии подробнее:), Будем рады пообщаться и обсудить детали вакансии подробнее:)"
Подробнее о функционале:,Подробнее о функционале:
Мы ищем усиление в команду дизайна Uzum Bank.,Мы ищем усиление в команду дизайна Uzum Bank.
М 13,М 13
Ожидание (we want):,Ожидание (we want):
Подходит ли вам программа:,Подходит ли вам программа:
Какие навыки необходимы:,"Какие навыки необходимы:, Какие знания необходимы:"
What else is beneficial,What else is beneficial
Система бронирования (ООО),Система бронирования (ООО)
Помимо первичной оценки,Помимо первичной оценки
As a plus:,As a plus:
Ждем ваши отклики и будем рады познакомиться лично!,Ждем ваши отклики и будем рады познакомиться лично!
"QSOFT – российский digital-интегратор с экспертизой в A.I. и Machine Learning, лидер в сфере веб-разработки высоконагруженных проектов для среднего и крупного бизнеса и госструктур.","QSOFT – российский digital-интегратор с экспертизой в A.I. и Machine Learning, лидер в сфере веб-разработки высоконагруженных проектов для среднего и крупного бизнеса и госструктур., QSOFT – российский digital-интегратор с экспертизой в A.I. и Machine Learning, лидер в сфере digital-разработки высоконагруженных проектов для среднего и крупного бизнеса и госструктур."
Продуктовый дизайнер (Senior / Middle),Продуктовый дизайнер (Senior / Middle)
Conditions of work:,Conditions of work:
В этом поможет:,В этом поможет:
Бизнес-ориентированность:,Бизнес-ориентированность:
With us you will:,With us you will:
Каким мы видим подходящего кандидата:,Каким мы видим подходящего кандидата:
Добрый день!,Добрый день!
Innovative Environment:,Innovative Environment:
У вас есть:,У вас есть:
Мы ищем:,"Мы ищем:, Что мы ищем:, Мы ищем"
Корпоративная культура:,"Корпоративная культура:, Сильная корпоративная культура"
О компании,"О компании, О компании:, О компании и команде:"
"<em>Читайте внимательно описание!Сначала вы проходите 6-недельное обучение и после начинается стажировка. Оплачиваемая стажировка начинается после успешного прохождения обучения! </em>Вам нужно откликнуться, мы обратным откликом пришлем ссылку на обучение!","<em>Читайте внимательно описание!Сначала вы проходите 6-недельное обучение и после начинается стажировка. Оплачиваемая стажировка начинается после успешного прохождения обучения! </em>Вам нужно откликнуться, мы обратным откликом пришлем ссылку на обучение!"
Помогать бизнесу развиваться и поддерживать высокий уровень роста!,Помогать бизнесу развиваться и поддерживать высокий уровень роста!
Преимущества:,"Преимущества:, Наши преимущества:, Преимущества вакансии:"
Наш отдел продаж:,Наш отдел продаж:
- Знание рынка недвижимости новостроек;,- Знание рынка недвижимости новостроек;
Дополнительным плюсом будет:,"Дополнительным плюсом будет:, Будет дополнительным плюсом:"
Мы ожидаем от кандидатов:,"Мы ожидаем от кандидатов:, Мы ожидаем от вас:"
От вас нужно,"От вас нужно, От Вас :, От Вас:, От вас нужно:"
MAXBITSOLUTION -,MAXBITSOLUTION -
Рады знакомству!,Рады знакомству!
Что ожидается от вас:,Что ожидается от вас:
Лекарственные средства (EPD),Лекарственные средства (EPD)
Тех стек проекта:,"Тех стек проекта:, Тех. стек:"
Наши условия после выхода на работу:,Наши условия после выхода на работу:
Приглашаем тебя вступить в команду,Приглашаем тебя вступить в команду
If you are:,If you are:
"IEK GROUP, один из лидеров отечественной электротехнической отрасли открывает конкурс на замещение вакансии Бизнес-аналитика","IEK GROUP, один из лидеров отечественной электротехнической отрасли открывает конкурс на замещение вакансии Бизнес-аналитика"
Work5 – №1 на рынке консультационных услуг для студентов по количеству филиалов от Иркутска до Москвы.,Work5 – №1 на рынке консультационных услуг для студентов по количеству филиалов от Иркутска до Москвы.
Пожелания по опыту:,"Пожелания по опыту:, Пожелания к опыту, Пожелания по опыту работы:, Пожелания к опыту:"
Мы даём свободу создавать,Мы даём свободу создавать
В свою команду мы ищем людей которые поддержат наши идеи и привнесут свои.,В свою команду мы ищем людей которые поддержат наши идеи и привнесут свои.
Мы создали LXP платформу KAMPUS для эффективного управления корпоративным обучением. Наша платформа помогает развивать и внедрять #обучениенедлягалочки.,Мы создали LXP платформу KAMPUS для эффективного управления корпоративным обучением. Наша платформа помогает развивать и внедрять #обучениенедлягалочки.
Качества нашего успешного кандидата,Качества нашего успешного кандидата
Для этого Вам потребуется:,"Для этого Вам потребуется:, Что для этого потребуется:, Для этого тебе потребуется:"
ГК,ГК
Приглашаем математика-программиста для создания математических моделей игр,Приглашаем математика-программиста для создания математических моделей игр
"Нам по пути, если ты:","Нам по пути, если ты:, Нам по пути, если у тебя:, Нам по пути, если:"
Notamedia,Notamedia
ООО «Кайтен Софтвер» приглашает DevOps инженера .,ООО «Кайтен Софтвер» приглашает DevOps инженера .
Чем надо будет заниматься:,Чем надо будет заниматься:
&quot;Хозяюшка&quot;,&quot;Хозяюшка&quot;
"Чтобы легко влиться в процесс, вам пригодятся знания и <em>опыт</em> работы, связанные с:","Чтобы легко влиться в процесс, вам пригодятся знания и <em>опыт</em> работы, связанные с:"
Why do we enjoy working here?,Why do we enjoy working here?
Домиленд,Домиленд
"Круто, если у тебя есть:","Круто, если у тебя есть:"
"Знания, навыки и опыт, которые необходимы, чтобы решать поставленные задачи:","Знания, навыки и опыт, которые необходимы, чтобы решать поставленные задачи:"
<em>У нашего идеального кандидата есть: </em>,<em>У нашего идеального кандидата есть: </em>
Что нужно будет делать:<br /><br />1. Серверы и инфраструктура:,Что нужно будет делать:<br /><br />1. Серверы и инфраструктура:
График,"График, График работы, График работы:"
"ЕМЕ – аккредитованная IT компания, разработчик и интегратор решений для управления логистикой.","ЕМЕ – аккредитованная IT компания, разработчик и интегратор решений для управления логистикой."
Знание английского языка на уровне чтения технических/медицинских текстов является преимуществом,Знание английского языка на уровне чтения технических/медицинских текстов является преимуществом
В процессе работы необходимо:,В процессе работы необходимо:
Вместе с интересными задачами мы предлагаем:,Вместе с интересными задачами мы предлагаем:
involta,involta
Оставляй отклик!,Оставляй отклик!
Квартальные бонусы за успешные внедрения,Квартальные бонусы за успешные внедрения
Добро пожаловать в команду “Стрит Лайт” !,Добро пожаловать в команду “Стрит Лайт” !
Наша корпоративная ценность это наши сотрудники и довольные клиенты!,Наша корпоративная ценность это наши сотрудники и довольные клиенты!
"Компания Торгзап,","Компания Торгзап,"
Операционный менеджер по концепциям отдыха. Организатор туров по России.,Операционный менеджер по концепциям отдыха. Организатор туров по России.
НЕМНОГО О ПРОЕКТЕ:,НЕМНОГО О ПРОЕКТЕ:
Присоединяйтесь к нашей команде и начните карьеру в динамичном мире автозапчастей! ✨,Присоединяйтесь к нашей команде и начните карьеру в динамичном мире автозапчастей! ✨
<em>Возможно трудоустройство без опыта работы с обучением в процессе производственной деятельности (6 месяцев)</em>,<em>Возможно трудоустройство без опыта работы с обучением в процессе производственной деятельности (6 месяцев)</em>
<em>С нетерпением ждем ваших откликов! </em>,<em>С нетерпением ждем ваших откликов! </em>
Bonus Points For:,Bonus Points For:
Приглашаем в команду Frontend-разработчика.,Приглашаем в команду Frontend-разработчика.
Наш будущий сотрудник!,Наш будущий сотрудник!
Наши проекты,Наши проекты
Команда Управления Автоматизацией Заказов ВкусВилл в поисках коллеги! В нашей команде не хватает Аналитика по прогнозированию.,"Команда Управления Автоматизацией Заказов ВкусВилл в поисках коллеги! В нашей команде не хватает Аналитика по прогнозированию., Команда Управления Автоматизацией Заказов ВкусВилл в поисках коллеги! В нашей команде не хватает Аналитика данных!:)"
